node_id,context,context_order
module.01-truth-tools-and-ai,general,1
module.01-truth-tools-and-ai,renter,2
module.01-truth-tools-and-ai,homeowner,3
module.01-truth-tools-and-ai,urban,4
module.01-truth-tools-and-ai,rural,5
module.01-truth-tools-and-ai,low_budget,6
module.01-truth-tools-and-ai,off_grid,7
module.02-measure-map-and-inventory,general,1
module.02-measure-map-and-inventory,renter,2
module.02-measure-map-and-inventory,homeowner,3
module.02-measure-map-and-inventory,urban,4
module.02-measure-map-and-inventory,rural,5
module.02-measure-map-and-inventory,low_budget,6
module.02-measure-map-and-inventory,off_grid,7
module.03-water-storage-and-treatment,renter,1
module.03-water-storage-and-treatment,homeowner,2
module.03-water-storage-and-treatment,urban,3
module.03-water-storage-and-treatment,rural,4
module.03-water-storage-and-treatment,low_budget,5
module.03-water-storage-and-treatment,off_grid,6
module.04-water-testing-and-planning,renter,1
module.04-water-testing-and-planning,homeowner,2
module.04-water-testing-and-planning,urban,3
module.04-water-testing-and-planning,rural,4
module.04-water-testing-and-planning,low_budget,5
module.04-water-testing-and-planning,off_grid,6
module.05-pantry-rotation-and-preservation,renter,1
module.05-pantry-rotation-and-preservation,homeowner,2
module.05-pantry-rotation-and-preservation,urban,3
module.05-pantry-rotation-and-preservation,rural,4
module.05-pantry-rotation-and-preservation,low_budget,5
module.05-pantry-rotation-and-preservation,apartment,6
module.06-seed-starting-and-garden-planning,renter,1
module.06-seed-starting-and-garden-planning,homeowner,2
module.06-seed-starting-and-garden-planning,urban,3
module.06-seed-starting-and-garden-planning,rural,4
module.06-seed-starting-and-garden-planning,low_budget,5
module.06-seed-starting-and-garden-planning,apartment,6
module.07-envelope-and-weatherization,renter,1
module.07-envelope-and-weatherization,homeowner,2
module.07-envelope-and-weatherization,urban,3
module.07-envelope-and-weatherization,rural,4
module.07-envelope-and-weatherization,low_budget,5
module.07-envelope-and-weatherization,cold_climate,6
module.07-envelope-and-weatherization,hot_climate,7
module.08-moisture-tools-shutoffs-and-patching,renter,1
module.08-moisture-tools-shutoffs-and-patching,homeowner,2
module.08-moisture-tools-shutoffs-and-patching,urban,3
module.08-moisture-tools-shutoffs-and-patching,rural,4
module.08-moisture-tools-shutoffs-and-patching,low_budget,5
module.08-moisture-tools-shutoffs-and-patching,cold_climate,6
module.08-moisture-tools-shutoffs-and-patching,hot_climate,7
module.09-circuit-basics-and-label-reading,renter,1
module.09-circuit-basics-and-label-reading,homeowner,2
module.09-circuit-basics-and-label-reading,urban,3
module.09-circuit-basics-and-label-reading,rural,4
module.09-circuit-basics-and-label-reading,low_budget,5
module.09-circuit-basics-and-label-reading,off_grid,6
module.10-load-audit-and-runtime,renter,1
module.10-load-audit-and-runtime,homeowner,2
module.10-load-audit-and-runtime,urban,3
module.10-load-audit-and-runtime,rural,4
module.10-load-audit-and-runtime,low_budget,5
module.10-load-audit-and-runtime,off_grid,6
module.11-backup-power-and-local-resource-map,renter,1
module.11-backup-power-and-local-resource-map,homeowner,2
module.11-backup-power-and-local-resource-map,urban,3
module.11-backup-power-and-local-resource-map,rural,4
module.11-backup-power-and-local-resource-map,low_budget,5
module.11-backup-power-and-local-resource-map,off_grid,6
module.12-capstone-teach-forward,general,1
module.12-capstone-teach-forward,urban,2
module.12-capstone-teach-forward,rural,3
module.12-capstone-teach-forward,low_budget,4
module.12-capstone-teach-forward,off_grid,5
assessment.module.01,general,1
assessment.module.01,renter,2
assessment.module.01,homeowner,3
assessment.module.01,urban,4
assessment.module.01,rural,5
assessment.module.01,low_budget,6
assessment.module.01,off_grid,7
assessment.module.02,general,1
assessment.module.02,renter,2
assessment.module.02,homeowner,3
assessment.module.02,urban,4
assessment.module.02,rural,5
assessment.module.02,low_budget,6
assessment.module.02,off_grid,7
assessment.module.03,renter,1
assessment.module.03,homeowner,2
assessment.module.03,urban,3
assessment.module.03,rural,4
assessment.module.03,low_budget,5
assessment.module.03,off_grid,6
assessment.module.04,renter,1
assessment.module.04,homeowner,2
assessment.module.04,urban,3
assessment.module.04,rural,4
assessment.module.04,low_budget,5
assessment.module.04,off_grid,6
assessment.module.05,renter,1
assessment.module.05,homeowner,2
assessment.module.05,urban,3
assessment.module.05,rural,4
assessment.module.05,low_budget,5
assessment.module.05,apartment,6
assessment.module.06,renter,1
assessment.module.06,homeowner,2
assessment.module.06,urban,3
assessment.module.06,rural,4
assessment.module.06,low_budget,5
assessment.module.06,apartment,6
assessment.module.07,renter,1
assessment.module.07,homeowner,2
assessment.module.07,urban,3
assessment.module.07,rural,4
assessment.module.07,low_budget,5
assessment.module.07,cold_climate,6
assessment.module.07,hot_climate,7
assessment.module.08,renter,1
assessment.module.08,homeowner,2
assessment.module.08,urban,3
assessment.module.08,rural,4
assessment.module.08,low_budget,5
assessment.module.08,cold_climate,6
assessment.module.08,hot_climate,7
assessment.module.09,renter,1
assessment.module.09,homeowner,2
assessment.module.09,urban,3
assessment.module.09,rural,4
assessment.module.09,low_budget,5
assessment.module.09,off_grid,6
assessment.module.10,renter,1
assessment.module.10,homeowner,2
assessment.module.10,urban,3
assessment.module.10,rural,4
assessment.module.10,low_budget,5
assessment.module.10,off_grid,6
assessment.module.11,renter,1
assessment.module.11,homeowner,2
assessment.module.11,urban,3
assessment.module.11,rural,4
assessment.module.11,low_budget,5
assessment.module.11,off_grid,6
assessment.module.12,general,1
assessment.module.12,urban,2
assessment.module.12,rural,3
assessment.module.12,low_budget,4
assessment.module.12,off_grid,5
