id,type,title,summary,plain_language,primary_domain,stage,difficulty,estimated_hours,cost_band,risk_band,lifecycle_state,evidence_level,version,updated_at
foundation.verify-and-cite,skill,Verify and Cite Practical Claims,"Evaluate practical claims by checking source quality, recency, evidence, and applicability before acting.","Before you trust a claim, check who said it, when they said it, what evidence they show, and whether it fits your situation.",foundation,foundation,1,1.5,free,low,draft,compiled,1.0.0,2026-03-13
foundation.measurement-and-units,concept,Measurement and Units for Practical Work,"Understand quantities, conversions, estimation, and tolerances so plans and calculations use comparable units.","If you cannot measure it in the same units, you cannot compare it or size it correctly.",foundation,foundation,1,1.5,free,low,draft,compiled,1.0.0,2026-03-13
foundation.systems-mapping,skill,Map Household and Community Systems,"Map inputs, outputs, dependencies, and failure points in a system so you can see what matters first.",Draw the system before you try to fix the system.,foundation,foundation,2,2.0,free,low,draft,compiled,1.0.0,2026-03-13
foundation.ai-grounded-research,skill,Use AI for Grounded Research and Synthesis,"Use AI to summarize, compare, localize, and draft while keeping claims tied to checkable sources and local constraints.","Use AI like a fast research assistant and translator, not like a prophet.",foundation,foundation,2,2.0,free,low,draft,compiled,1.0.0,2026-03-13
foundation.household-resilience-inventory,project,Build a Household Resilience Inventory,"Create a baseline inventory of needs, dependencies, tools, contacts, and vulnerabilities for a household.",Write down what the household depends on before an outage or disruption writes it down for you.,foundation,foundation,2,3.0,low,low,draft,compiled,1.0.0,2026-03-13
water.safe-storage,skill,Store Potable Water Safely,"Store potable water in usable quantities, containers, and intervals so it stays available and identifiable.","Clean water only helps if you can store enough of it, find it fast, and trust the container.",water,household,1,1.5,low,low,draft,compiled,1.0.0,2026-03-13
water.treatment-selection,concept,Select an Appropriate Water Treatment Method,"Understand treatment methods and match them to the likely contaminants, water source, and available equipment.",Different water problems need different fixes; no single treatment method solves everything.,water,household,2,1.5,free,moderate,draft,compiled,1.0.0,2026-03-13
water.basic-testing,skill,Run Basic Household Water Checks and Tests,Inspect and test source or treated water at a household level and record the results in a simple log.,A small amount of testing catches many obvious failures before they become a household problem.,water,household,2,2.0,low,moderate,draft,compiled,1.0.0,2026-03-13
water.household-water-plan,project,Build a 72-Hour and 2-Week Household Water Plan,"Produce a practical household water plan covering quantity, storage, treatment, testing, and contingency options.",A water plan turns scattered gear and half-remembered ideas into a usable operating system.,water,household,2,3.0,low,moderate,draft,compiled,1.0.0,2026-03-13
food.pantry-design,project,Design a Functional Household Pantry,"Design a pantry around calories, diet, shelf life, cooking needs, budget, and storage conditions.","A pantry works when it matches what people actually eat, how they cook, and how long they may need it.",food,household,2,3.0,low,low,draft,compiled,1.0.0,2026-03-13
food.pantry-rotation,skill,Rotate and Replenish Pantry Stock,"Rotate and replenish stored food systematically so stock remains familiar, usable, and current.","Stored food is only useful if it stays edible, visible, and part of normal household practice.",food,household,1,1.5,free,low,draft,compiled,1.0.0,2026-03-13
food.safe-preservation-basics,concept,Understand Safe Food Preservation Boundaries,"Understand the safe boundaries of freezing, drying, fermenting, and canning-related decisions before preserving food.",Preservation methods create very different risks; do not treat them as interchangeable.,food,household,2,1.5,free,moderate,draft,compiled,1.0.0,2026-03-13
food.seed-starting,skill,Start Seeds Reliably,"Start plants from seed with correct timing, medium, light, moisture, and labeling.","Strong seedlings come from consistent conditions, not from luck.",food,productive,2,2.0,low,low,draft,compiled,1.0.0,2026-03-13
food.beginner-garden-system,project,Plan a Beginner Garden System,"Plan a small bed or container garden for reliable output, maintenance, and learning rather than maximal complexity.",A small garden that fits your time and space teaches more than a sprawling one you cannot maintain.,food,productive,2,4.0,low,low,draft,compiled,1.0.0,2026-03-13
shelter.building-envelope,concept,Understand the Building Envelope,"Understand how heat, air, moisture, insulation, and leakage pathways affect comfort, cost, and damage.","The envelope is the boundary between indoors and outdoors; when it leaks air or traps moisture badly, the whole house pays for it.",shelter,household,2,2.0,free,low,draft,compiled,1.0.0,2026-03-13
shelter.weatherization-audit,project,Run a Basic Weatherization Audit,"Inspect drafts, heat loss, leakage, and weatherization priorities to rank practical improvements.",A weatherization audit tells you where comfort and energy losses are actually happening instead of where you guess they are.,shelter,household,2,3.0,low,low,draft,compiled,1.0.0,2026-03-13
shelter.moisture-and-mold-control,skill,Control Moisture and Interrupt Mold Conditions,Identify moisture sources and interrupt the conditions that allow mold and building damage to persist.,Mold control starts with moisture control; cleaning alone is not a strategy if the source remains.,shelter,household,2,2.0,low,moderate,draft,compiled,1.0.0,2026-03-13
repair.hand-tool-literacy,skill,Use Essential Hand Tools Confidently,"Use measuring, tightening, cutting, fastening, and basic repair tools safely and effectively.",Tool literacy lowers the barrier to fixing simple problems before they become expensive ones.,repair,household,1,2.5,low,moderate,draft,compiled,1.0.0,2026-03-13
repair.shutoffs-seals-and-patches,skill,"Locate Shutoffs, Seal Gaps, and Make Minor Temporary Repairs","Locate shutoffs, stop minor leaks, seal gaps, and make temporary repairs that buy time and reduce damage.","Fast, basic intervention often matters more than elegant intervention in the first minutes of a household problem.",repair,household,2,2.5,low,moderate,draft,compiled,1.0.0,2026-03-13
power.circuit-basics,concept,Understand Basic Circuits and Household Loads,"Understand volts, amps, watts, watt-hours, breakers, and common household loads so power choices are realistic.",Power problems become much easier once you know the difference between how fast energy is used and how much energy you have stored.,power,household,2,2.0,free,moderate,draft,compiled,1.0.0,2026-03-13
power.load-audit,project,Run a Critical Loads Audit,Inventory critical devices and outage priorities so backup plans are sized for reality rather than guesswork.,You do not need to power everything; you need to know what truly matters and what it costs to keep it running.,power,household,2,3.0,low,moderate,draft,compiled,1.0.0,2026-03-13
power.runtime-calculation,skill,Estimate Runtime from Stored or Generated Power,"Calculate runtime from batteries, generators, or power stations using load, efficiency, and duty-cycle assumptions.",Runtime is where wishful thinking meets arithmetic.,power,household,2,1.5,free,moderate,draft,compiled,1.0.0,2026-03-13
power.backup-power-plan,project,Draft a Tiered Backup Power Plan,"Produce low-, mid-, and high-budget backup options tied to critical loads, runtime goals, and local constraints.",A good backup plan gives you options instead of one expensive fantasy setup.,power,household,3,3.5,low,moderate,draft,compiled,1.0.0,2026-03-13
community.local-resource-map,project,"Map Local Skills, Tools, Sources, and Shared Assets","Map local tools, skills, food sources, water sources, spaces, and contacts that matter in normal times and disruptions.",Community resilience improves when people know what already exists nearby and who can do what.,community,community,2,3.0,free,low,draft,compiled,1.0.0,2026-03-13
community.teach-forward-session,project,Deliver a Teach-Forward Session,Teach one completed capability to others in a 10–20 minute session using a durable artifact and clear language.,"Knowledge spreads when someone can pass it on simply, not when they merely possess it privately.",community,community,2,2.5,free,low,draft,compiled,1.0.0,2026-03-13
