edge_id,source_id,edge_type,target_id,condition_group_id,sequence,note
edge-001,foundation.ai-grounded-research,REQUIRES,foundation.verify-and-cite,reqg-001,1,all_of requirement for foundation.ai-grounded-research
edge-002,foundation.household-resilience-inventory,REQUIRES,foundation.measurement-and-units,reqg-002,1,all_of requirement for foundation.household-resilience-inventory
edge-003,foundation.household-resilience-inventory,REQUIRES,foundation.systems-mapping,reqg-002,2,all_of requirement for foundation.household-resilience-inventory
edge-004,foundation.household-resilience-inventory,REQUIRES,foundation.ai-grounded-research,reqg-002,3,all_of requirement for foundation.household-resilience-inventory
edge-005,water.safe-storage,REQUIRES,foundation.measurement-and-units,reqg-003,1,all_of requirement for water.safe-storage
edge-006,water.treatment-selection,REQUIRES,foundation.verify-and-cite,reqg-004,1,all_of requirement for water.treatment-selection
edge-007,water.treatment-selection,REQUIRES,foundation.ai-grounded-research,reqg-004,2,all_of requirement for water.treatment-selection
edge-008,water.basic-testing,REQUIRES,foundation.verify-and-cite,reqg-005,1,all_of requirement for water.basic-testing
edge-009,water.basic-testing,REQUIRES,water.treatment-selection,reqg-005,2,all_of requirement for water.basic-testing
edge-010,water.household-water-plan,REQUIRES,foundation.household-resilience-inventory,reqg-006,1,all_of requirement for water.household-water-plan
edge-011,water.household-water-plan,REQUIRES,water.safe-storage,reqg-006,2,all_of requirement for water.household-water-plan
edge-012,water.household-water-plan,REQUIRES,water.treatment-selection,reqg-006,3,all_of requirement for water.household-water-plan
edge-013,water.household-water-plan,REQUIRES,water.basic-testing,reqg-006,4,all_of requirement for water.household-water-plan
edge-014,food.pantry-design,REQUIRES,foundation.measurement-and-units,reqg-007,1,all_of requirement for food.pantry-design
edge-015,food.pantry-design,REQUIRES,foundation.household-resilience-inventory,reqg-007,2,all_of requirement for food.pantry-design
edge-016,food.pantry-rotation,REQUIRES,food.pantry-design,reqg-008,1,all_of requirement for food.pantry-rotation
edge-017,food.safe-preservation-basics,REQUIRES,foundation.verify-and-cite,reqg-009,1,all_of requirement for food.safe-preservation-basics
edge-018,food.safe-preservation-basics,REQUIRES,foundation.ai-grounded-research,reqg-009,2,all_of requirement for food.safe-preservation-basics
