id,type,domain,title,priority,source_anchor,notes
permaculture.definition-permanent-agriculture-culture,concept_note,foundations,Permaculture as permanent agriculture and permanent culture,P1,"Permaculture Reference Book, Module 1",Core definition for corpus root node.
permaculture.ethics-care-earth-people-future,concept_note,foundations,"Permaculture ethics: care for earth, people, future",P1,"Facilitator's Handbook, Module 1",Canonical ethics node.
permaculture.design-principles-overview,concept_note,foundations,Permaculture design principles overview,P1,"Facilitator's Handbook, Module 1",Top-level principle cluster.
permaculture.patterns-in-nature,concept_note,foundations,Patterns in nature as a design guide,P1,"Reference Book, Module 2",Used by design and layout nodes.
permaculture.methods-of-design,skill_guide,foundations,"Use maps, observation, zones, sectors, and element analysis",P1,"Reference Book, Module 2",Core site design skill.
permaculture.zones-and-sectors,concept_note,foundations,Zones and sectors for site planning,P1,Mollison spatial concept + Reference Book Module 2,Required for most layout projects.
permaculture.observation-walk,skill_guide,foundations,Run a site observation and data collection walk,P1,"Facilitator's Handbook, Module 2",Field-first learning skill.
permaculture.element-analysis,skill_guide,foundations,Perform element analysis for site components,P1,"Reference Book, Module 2",Entity mapping skill.
permaculture.microclimate-reading,skill_guide,foundations,"Read microclimates, slope, wind, and water flow",P1,Permaculture One site design chapters,Deployment-context skill.
permaculture.multiple-functions-redundancy,concept_note,foundations,Multiple functions per element and redundancy per function,P1,Mollison editor preface / design principles,Core graph edge heuristic.
permaculture.relative-location,concept_note,foundations,Relative location and functional placement,P1,Design principles,Strong edge design concept.
water.collect-rainwater,skill_guide,water,Collect rainwater from roofs and simple catchments,P1,Reference Book Module 3,Entry water skill.
water.safe-storage,skill_guide,water,Store drinking water safely,P1,Reference Book Module 3,Essential resilience node.
water.clean-drinking-water,skill_guide,water,Clean and filter drinking water,P1,Reference Book Module 3,Household water treatment.
water.reduce-mosquito-breeding,skill_guide,water,Reduce stagnant water and mosquito breeding,P1,Reference Book Module 3,Public health link.
water.greywater-basic-treatment,project_blueprint,water,Build a simple biological filter for wastewater,P1,Facilitator's Handbook Module 3,Household waste-water starter.
water.swales-introduction,concept_note,water,Swales as water storage and erosion control,P1,Reference Book Module 8,Core landscape water node.
water.mark-contours-a-frame,skill_guide,water,Use an A-frame to mark contour lines,P1,Facilitator's Handbook Module 2,Pre-req for swales.
water.construct-swales,project_blueprint,water,Design and construct productive swales,P1,Reference Book Module 8,Major land-shaping project.
water.pond-basics,project_blueprint,water,"Design a pond for storage, habitat, and integrated production",P2,Water in Permaculture / Ref Book Module 11,Supports aquaculture and irrigation.
soil.healthy-living-soil,concept_note,soil,What healthy living soil is,P1,Reference Book Module 4,Root soil concept.
