source_id,section_id,start_page,end_page,heading_path,segment_ids,candidate_slug,candidate_type,primary_domain,secondary_domains,stage,contexts,summary,key_concepts,key_actions,tools_materials,failure_modes,safety_boundaries,local_adaptation_signals,needs_split,needs_merge,confidence
src.ggg.newsletter.2026-03,seg_000001,1,1,Editor • Publisher,seg_000001,media.profile-editor-publisher,field_report,media,publishing|personal_profile,reference,editorial bio|publisher bio,"A short biographical profile of Tom Luongo describing his editorial, publishing, and writing roles, plus a few personal background details. It does not present a reproducible capability in a procedural form, so it is best treated as a reference/profile object.",editorial role|publishing role|writing background|media syndication,identify editorial responsibilities|publish and syndicate content,blog|podcast|news media outlets,"","",No explicit local adaptation guidance; profile is context-specific to the named individual.,false,false,0.92
src.ggg.newsletter.2026-03,seg_000002,1,1,"Tom Luongo In Chaos, We Trust",seg_000002,politics.hornets-nest-metaphor,concept_note,politics,rhetoric|analysis,concept,editorial commentary|political analysis,"A short editorial framing political conflict through a hornet's-nest metaphor: some situations are avoided until they must be confronted directly, after which the consequences are immediate and tense. The section introduces the issue's theme of what follows after disruptive action.",metaphor for conflict|escalation|direct confrontation|political disruption|consequences after provocation,recognize when a situation is being provoked|decide whether to avoid or confront|anticipate aftermath after disruption,"",underestimating retaliation|provoking conflict without a plan|misreading the cost of confrontation,metaphorical discussion only; no operational guidance for violence,references to local political actors and conflict style|adaptable to other contexts where disruption triggers backlash,false,false,0.86
src.ggg.newsletter.2026-03,seg_000003,1,1,Quote of the month,seg_000003,defense.quote-of-the-month-a10-thunderbolt-ii,reference_sheet,defense,aviation|culture,reference,newsletter front matter,"A brief quoted soundbite attributed to the A-10 Thunderbolt II, functioning as a thematic or editorial opener rather than a teachable capability object.",attribution|military aviation|editorial framing,present a quote|signal theme,newsletter,No actionable capability content is provided.|Attribution context is minimal.,Contains a military reference only; no operational guidance.,None apparent.,false,false,0.94
src.ggg.newsletter.2026-03,seg_000004,1,1,Index,seg_000004,publishing.issue-index,reference_sheet,publishing,information-organization,reference,newsletter navigation,"An index of newsletter articles with page references, serving as a navigation aid rather than a standalone capability object.",indexing|table of contents|navigation,list sections|map titles to pages,newsletter,No instructional content beyond navigation metadata.,"",Could be adapted to local issue organization or archival practices.,false,false,0.98
src.ggg.newsletter.2026-03,seg_000005,1,1,THE PROS AND CONS OF WARMAKING,seg_000005,politics.consensus-vs-power-politics,concept_note,politics,geopolitics|analysis,concept,commentary|geopolitical analysis,"A framing note contrasting consensus politics with power politics, arguing that real-world state behavior is better understood through interests, leverage, and coercive bargaining than through procedural ideals.",consensus politics|power politics|state interests|coercive leverage|geopolitical interpretation,reframe events through interests and leverage|test assumptions against observed outcomes|question narratives that obscure power,"",treating procedural consensus as reality|misreading strategic actors as neutral or inclusive,"",references to local political bargaining|institutions that mask hard power with process,false,false,0.84
src.ggg.newsletter.2026-03,seg_000006,1,1,THE PROS AND CONS OF WARMAKING > WEIGHING TRUMP'S IRAN GAMBLE,seg_000006,geopolitics.interpreting-power-shifts,skill_guide,geopolitics,political analysis|economics,analysis,commentary|market interpretation|statecraft,"A practical interpretive guide for reading major policy moves as power politics, using the Fed, Brexit, and Trump-era actions as examples of how actors use leverage, timing, and institutional control to shape outcomes.",power politics|institutional leverage|monetary policy|global capital flows|strategic interpretation,infer motives from actions and outcomes|compare stated goals with structural effects|track how policy shifts alter bargaining power,policy observation|market signals|historical comparison,overreliance on ideological priors|assuming consensus language reflects actual negotiation,"",central bank policy affecting local markets|regional exposure to dollar pricing or rate shocks,false,false,0.78
src.ggg.newsletter.2026-03,seg_000007,1,1,THE PROS AND CONS OF WARMAKING > DISCOMFORT JUNCTION,seg_000007,geopolitics.assessing-regime-targets,concept_note,geopolitics,security studies|analysis,analysis,commentary|war assessment,"An analytical note on assessing a conflict through power politics, hidden motivations, and competing national interests, with emphasis on uncertainty, inference, and burden of proof when actors mask intent.",national interests|hidden motivations|burden of proof|network nodes|strategic ambiguity,evaluate actors by interests and behavior|treat public claims as potentially strategic|separate observation from advocacy,"",confusing emotion with analysis|accepting narratives without evidence|misreading masked motives,"",local actors with opaque incentives|conflicts where public messaging diverges from behavior,false,false,0.8
src.ggg.newsletter.2026-03,seg_000008,1,1,THE PROS AND CONS OF WARMAKING > BAD NEWS FIRST,seg_000008,politics.electoral-tail-risk-analysis,concept_note,politics,elections|risk analysis,analysis,commentary|midterm strategy,"A political risk framing that evaluates how foreign-policy shocks, elite opposition, and media narratives may affect midterm outcomes, while emphasizing the long lead time before elections and the possibility of changing conditions.",electoral tail risk|midterm elections|demoralization campaign|coalition splitting|status quo restoration,stress-test political scenarios over time|track coalition cohesion|separate immediate reaction from longer-term trajectory,"",assuming current sentiment will persist unchanged|underestimating narrative warfare,"",local election cycles|coalition fracture signals|issue-based voter fatigue,false,false,0.77
src.ggg.newsletter.2026-03,seg_000009,1,1,"THE PROS AND CONS OF WARMAKING > (WARMAKING, con't.)",seg_000009,economics.hormuz-shipping-risk-assessment,reference_sheet,economics,shipping|energy markets|geopolitics,deployment,market monitoring|war premium analysis,"A market-oriented reference on how conflict around the Strait of Hormuz affects oil prices, shipping insurance, currencies, bonds, and equities, including the role of insurers, reinsurance, and chokepoint leverage.",Strait of Hormuz|war premium|shipping insurance|reinsurance|chokepoint leverage|oil pricing,"monitor insurance and reinsurance announcements|track tanker delays and port congestion|watch currency, bond, and equity reactions",shipping insurance|reinsurance programs|market price indicators,underestimating fog-of-war delays|ignoring insurance as a control point|misreading temporary closures as permanent,financial and geopolitical risk can change rapidly|not a tactical guide for disruption,local exposure to fuel prices|regional import dependence|port or logistics bottlenecks,false,false,0.9
src.ggg.newsletter.2026-03,seg_000010,1,1,"THE PROS AND CONS OF WARMAKING > (WARMAKING, con't.)",seg_000010,geopolitics.forever-war-risk-premium,concept_note,geopolitics,economics|security studies,analysis,commentary|risk framing,"A conceptual note arguing that recurring global conflicts create a persistent risk premium across everyday life and markets, and that peace-making or de-escalation can reduce those costs.",risk premium|forever wars|proxy conflict|de-escalation|globalist incentives,identify recurring conflict drivers|link conflict to everyday costs|evaluate whether peace actions reduce systemic risk,"",normalizing permanent conflict|attributing all instability to a single cause,"","local costs from conflict-driven inflation|community exposure to migration, drugs, or security spillovers",false,false,0.74
