node_id,tag,tag_order
foundation.verify-and-cite,verification,1
foundation.verify-and-cite,research,2
foundation.verify-and-cite,evidence,3
foundation.verify-and-cite,decision-making,4
foundation.verify-and-cite,media-literacy,5
foundation.measurement-and-units,measurement,1
foundation.measurement-and-units,units,2
foundation.measurement-and-units,numeracy,3
foundation.measurement-and-units,calculation,4
foundation.measurement-and-units,estimation,5
foundation.systems-mapping,systems-thinking,1
foundation.systems-mapping,mapping,2
foundation.systems-mapping,dependencies,3
foundation.systems-mapping,troubleshooting,4
foundation.systems-mapping,planning,5
foundation.ai-grounded-research,ai-literacy,1
foundation.ai-grounded-research,research,2
foundation.ai-grounded-research,summarization,3
foundation.ai-grounded-research,comparison,4
foundation.ai-grounded-research,localization,5
foundation.household-resilience-inventory,inventory,1
foundation.household-resilience-inventory,baseline,2
foundation.household-resilience-inventory,resilience,3
foundation.household-resilience-inventory,household,4
foundation.household-resilience-inventory,planning,5
water.safe-storage,water,1
water.safe-storage,storage,2
water.safe-storage,sanitation,3
water.safe-storage,preparedness,4
water.safe-storage,containers,5
water.treatment-selection,water,1
water.treatment-selection,treatment,2
water.treatment-selection,filtration,3
water.treatment-selection,disinfection,4
water.treatment-selection,contaminants,5
water.basic-testing,water,1
water.basic-testing,testing,2
water.basic-testing,logging,3
water.basic-testing,quality-control,4
water.basic-testing,observation,5
water.household-water-plan,water-plan,1
water.household-water-plan,household,2
water.household-water-plan,contingency,3
water.household-water-plan,preparedness,4
water.household-water-plan,operations,5
food.pantry-design,pantry,1
food.pantry-design,storage,2
food.pantry-design,nutrition,3
food.pantry-design,budgeting,4
food.pantry-design,household,5
food.pantry-rotation,pantry,1
food.pantry-rotation,rotation,2
food.pantry-rotation,inventory,3
food.pantry-rotation,household,4
food.pantry-rotation,maintenance,5
food.safe-preservation-basics,food-safety,1
food.safe-preservation-basics,preservation,2
food.safe-preservation-basics,freezing,3
food.safe-preservation-basics,drying,4
food.safe-preservation-basics,fermentation,5
food.seed-starting,gardening,1
food.seed-starting,seed-starting,2
food.seed-starting,horticulture,3
food.seed-starting,planning,4
food.seed-starting,seasonality,5
food.beginner-garden-system,gardening,1
food.beginner-garden-system,layout,2
food.beginner-garden-system,crop-planning,3
food.beginner-garden-system,containers,4
food.beginner-garden-system,beds,5
shelter.building-envelope,shelter,1
shelter.building-envelope,building-science,2
shelter.building-envelope,heat,3
shelter.building-envelope,air-sealing,4
shelter.building-envelope,moisture,5
shelter.weatherization-audit,weatherization,1
shelter.weatherization-audit,audit,2
shelter.weatherization-audit,heat-loss,3
shelter.weatherization-audit,air-sealing,4
shelter.weatherization-audit,home-performance,5
shelter.moisture-and-mold-control,moisture,1
shelter.moisture-and-mold-control,mold,2
shelter.moisture-and-mold-control,ventilation,3
shelter.moisture-and-mold-control,inspection,4
shelter.moisture-and-mold-control,durability,5
repair.hand-tool-literacy,tools,1
repair.hand-tool-literacy,repair,2
repair.hand-tool-literacy,measurement,3
repair.hand-tool-literacy,fasteners,4
repair.hand-tool-literacy,maintenance,5
repair.shutoffs-seals-and-patches,repair,1
repair.shutoffs-seals-and-patches,shutoffs,2
repair.shutoffs-seals-and-patches,sealing,3
repair.shutoffs-seals-and-patches,patching,4
repair.shutoffs-seals-and-patches,damage-control,5
power.circuit-basics,electricity,1
power.circuit-basics,circuits,2
power.circuit-basics,loads,3
power.circuit-basics,energy,4
power.circuit-basics,backup-power,5
power.load-audit,power,1
power.load-audit,load-audit,2
power.load-audit,outages,3
power.load-audit,priority-setting,4
power.load-audit,inventory,5
power.runtime-calculation,runtime,1
power.runtime-calculation,calculation,2
power.runtime-calculation,batteries,3
power.runtime-calculation,generators,4
power.runtime-calculation,loads,5
power.backup-power-plan,backup-power,1
power.backup-power-plan,planning,2
power.backup-power-plan,budgeting,3
power.backup-power-plan,outages,4
power.backup-power-plan,energy-resilience,5
community.local-resource-map,community,1
community.local-resource-map,mapping,2
community.local-resource-map,mutual-aid,3
community.local-resource-map,assets,4
community.local-resource-map,coordination,5
community.teach-forward-session,teaching,1
community.teach-forward-session,knowledge-transfer,2
community.teach-forward-session,community,3
community.teach-forward-session,facilitation,4
community.teach-forward-session,documentation,5
