edge_id,source_id,edge_type,target_id,condition_group_id,sequence,note
edge.module.02-measure-map-and-inventory.module.02-measure-map-and-inventory.req01.01,module.02-measure-map-and-inventory,REQUIRES,module.01-truth-tools-and-ai,module.02-measure-map-and-inventory.req01,1,Derived from module prerequisite group
edge.module.03-water-storage-and-treatment.module.03-water-storage-and-treatment.req01.01,module.03-water-storage-and-treatment,REQUIRES,module.01-truth-tools-and-ai,module.03-water-storage-and-treatment.req01,1,Derived from module prerequisite group
edge.module.03-water-storage-and-treatment.module.03-water-storage-and-treatment.req01.02,module.03-water-storage-and-treatment,REQUIRES,module.02-measure-map-and-inventory,module.03-water-storage-and-treatment.req01,2,Derived from module prerequisite group
edge.module.04-water-testing-and-planning.module.04-water-testing-and-planning.req01.01,module.04-water-testing-and-planning,REQUIRES,module.01-truth-tools-and-ai,module.04-water-testing-and-planning.req01,1,Derived from module prerequisite group
edge.module.04-water-testing-and-planning.module.04-water-testing-and-planning.req01.02,module.04-water-testing-and-planning,REQUIRES,module.02-measure-map-and-inventory,module.04-water-testing-and-planning.req01,2,Derived from module prerequisite group
edge.module.04-water-testing-and-planning.module.04-water-testing-and-planning.req01.03,module.04-water-testing-and-planning,REQUIRES,module.03-water-storage-and-treatment,module.04-water-testing-and-planning.req01,3,Derived from module prerequisite group
edge.module.05-pantry-rotation-and-preservation.module.05-pantry-rotation-and-preservation.req01.01,module.05-pantry-rotation-and-preservation,REQUIRES,module.01-truth-tools-and-ai,module.05-pantry-rotation-and-preservation.req01,1,Derived from module prerequisite group
edge.module.05-pantry-rotation-and-preservation.module.05-pantry-rotation-and-preservation.req01.02,module.05-pantry-rotation-and-preservation,REQUIRES,module.02-measure-map-and-inventory,module.05-pantry-rotation-and-preservation.req01,2,Derived from module prerequisite group
edge.module.06-seed-starting-and-garden-planning.module.06-seed-starting-and-garden-planning.req01.01,module.06-seed-starting-and-garden-planning,REQUIRES,module.02-measure-map-and-inventory,module.06-seed-starting-and-garden-planning.req01,1,Derived from module prerequisite group
edge.module.07-envelope-and-weatherization.module.07-envelope-and-weatherization.req01.01,module.07-envelope-and-weatherization,REQUIRES,module.02-measure-map-and-inventory,module.07-envelope-and-weatherization.req01,1,Derived from module prerequisite group
edge.module.08-moisture-tools-shutoffs-and-patching.module.08-moisture-tools-shutoffs-and-patching.req01.01,module.08-moisture-tools-shutoffs-and-patching,REQUIRES,module.01-truth-tools-and-ai,module.08-moisture-tools-shutoffs-and-patching.req01,1,Derived from module prerequisite group
edge.module.08-moisture-tools-shutoffs-and-patching.module.08-moisture-tools-shutoffs-and-patching.req01.02,module.08-moisture-tools-shutoffs-and-patching,REQUIRES,module.02-measure-map-and-inventory,module.08-moisture-tools-shutoffs-and-patching.req01,2,Derived from module prerequisite group
edge.module.08-moisture-tools-shutoffs-and-patching.module.08-moisture-tools-shutoffs-and-patching.req01.03,module.08-moisture-tools-shutoffs-and-patching,REQUIRES,module.07-envelope-and-weatherization,module.08-moisture-tools-shutoffs-and-patching.req01,3,Derived from module prerequisite group
edge.module.09-circuit-basics-and-label-reading.module.09-circuit-basics-and-label-reading.req01.01,module.09-circuit-basics-and-label-reading,REQUIRES,module.02-measure-map-and-inventory,module.09-circuit-basics-and-label-reading.req01,1,Derived from module prerequisite group
edge.module.10-load-audit-and-runtime.module.10-load-audit-and-runtime.req01.01,module.10-load-audit-and-runtime,REQUIRES,module.02-measure-map-and-inventory,module.10-load-audit-and-runtime.req01,1,Derived from module prerequisite group
edge.module.10-load-audit-and-runtime.module.10-load-audit-and-runtime.req01.02,module.10-load-audit-and-runtime,REQUIRES,module.09-circuit-basics-and-label-reading,module.10-load-audit-and-runtime.req01,2,Derived from module prerequisite group
edge.module.11-backup-power-and-local-resource-map.module.11-backup-power-and-local-resource-map.req01.01,module.11-backup-power-and-local-resource-map,REQUIRES,module.01-truth-tools-and-ai,module.11-backup-power-and-local-resource-map.req01,1,Derived from module prerequisite group
edge.module.11-backup-power-and-local-resource-map.module.11-backup-power-and-local-resource-map.req01.02,module.11-backup-power-and-local-resource-map,REQUIRES,module.02-measure-map-and-inventory,module.11-backup-power-and-local-resource-map.req01,2,Derived from module prerequisite group
