source_id,group_id,mode,group_n,required_node_id,requirement_order,note
foundation.ai-grounded-research,reqg-001,all_of,,foundation.verify-and-cite,1,
foundation.household-resilience-inventory,reqg-002,all_of,,foundation.measurement-and-units,1,
foundation.household-resilience-inventory,reqg-002,all_of,,foundation.systems-mapping,2,
foundation.household-resilience-inventory,reqg-002,all_of,,foundation.ai-grounded-research,3,
water.safe-storage,reqg-003,all_of,,foundation.measurement-and-units,1,
water.treatment-selection,reqg-004,all_of,,foundation.verify-and-cite,1,
water.treatment-selection,reqg-004,all_of,,foundation.ai-grounded-research,2,
water.basic-testing,reqg-005,all_of,,foundation.verify-and-cite,1,
water.basic-testing,reqg-005,all_of,,water.treatment-selection,2,
water.household-water-plan,reqg-006,all_of,,foundation.household-resilience-inventory,1,
water.household-water-plan,reqg-006,all_of,,water.safe-storage,2,
water.household-water-plan,reqg-006,all_of,,water.treatment-selection,3,
water.household-water-plan,reqg-006,all_of,,water.basic-testing,4,
food.pantry-design,reqg-007,all_of,,foundation.measurement-and-units,1,
food.pantry-design,reqg-007,all_of,,foundation.household-resilience-inventory,2,
food.pantry-rotation,reqg-008,all_of,,food.pantry-design,1,
food.safe-preservation-basics,reqg-009,all_of,,foundation.verify-and-cite,1,
food.safe-preservation-basics,reqg-009,all_of,,foundation.ai-grounded-research,2,
food.safe-preservation-basics,reqg-009,all_of,,food.pantry-design,3,
food.seed-starting,reqg-010,all_of,,foundation.measurement-and-units,1,
food.beginner-garden-system,reqg-011,all_of,,foundation.systems-mapping,1,
food.beginner-garden-system,reqg-011,all_of,,food.seed-starting,2,
shelter.building-envelope,reqg-012,all_of,,foundation.measurement-and-units,1,
shelter.weatherization-audit,reqg-013,all_of,,foundation.systems-mapping,1,
shelter.weatherization-audit,reqg-013,all_of,,foundation.household-resilience-inventory,2,
shelter.weatherization-audit,reqg-013,all_of,,shelter.building-envelope,3,
shelter.moisture-and-mold-control,reqg-014,all_of,,foundation.verify-and-cite,1,
shelter.moisture-and-mold-control,reqg-014,all_of,,shelter.building-envelope,2,
repair.hand-tool-literacy,reqg-015,all_of,,foundation.measurement-and-units,1,
repair.shutoffs-seals-and-patches,reqg-016,all_of,,shelter.moisture-and-mold-control,1,
repair.shutoffs-seals-and-patches,reqg-016,all_of,,repair.hand-tool-literacy,2,
power.circuit-basics,reqg-017,all_of,,foundation.measurement-and-units,1,
power.load-audit,reqg-018,all_of,,foundation.systems-mapping,1,
power.load-audit,reqg-018,all_of,,foundation.household-resilience-inventory,2,
power.load-audit,reqg-018,all_of,,power.circuit-basics,3,
power.runtime-calculation,reqg-019,all_of,,foundation.measurement-and-units,1,
power.runtime-calculation,reqg-019,all_of,,power.circuit-basics,2,
power.runtime-calculation,reqg-019,all_of,,power.load-audit,3,
power.backup-power-plan,reqg-020,all_of,,foundation.ai-grounded-research,1,
power.backup-power-plan,reqg-020,all_of,,power.load-audit,2,
power.backup-power-plan,reqg-020,all_of,,power.runtime-calculation,3,
community.local-resource-map,reqg-021,all_of,,foundation.systems-mapping,1,
community.local-resource-map,reqg-021,all_of,,foundation.household-resilience-inventory,2,
community.teach-forward-session,reqg-022,all_of,,foundation.verify-and-cite,1,
community.teach-forward-session,reqg-023,n_of,2,water.household-water-plan,1,
community.teach-forward-session,reqg-023,n_of,2,food.pantry-design,2,
community.teach-forward-session,reqg-023,n_of,2,food.beginner-garden-system,3,
community.teach-forward-session,reqg-023,n_of,2,shelter.weatherization-audit,4,
community.teach-forward-session,reqg-023,n_of,2,power.backup-power-plan,5,
community.teach-forward-session,reqg-023,n_of,2,community.local-resource-map,6,
