source_id,section_id,start_page,end_page,heading_path,segment_ids,candidate_slug,candidate_type,primary_domain,secondary_domains,stage,contexts,summary,key_concepts,key_actions,tools_materials,failure_modes,safety_boundaries,local_adaptation_signals,needs_split,needs_merge,confidence
src.usda.home-canning.2015,seg_000001,1,1,Complete Guide to,seg_000001,food-preservation.home-canning-guide,reference_sheet,food-preservation,"",concept,"","An introductory guide to home canning, providing an overview of the process and safety considerations.",home canning|food preservation|safety guidelines,overview of canning process|introduction to safety measures,canning jars|pressure canner|water bath canner,contamination|improper sealing,ensure proper sterilization|follow recommended processing times,availability of canning equipment|local food types,false,false,0.8
src.usda.home-canning.2015,seg_000002,1,1,Home Canning,seg_000002,food-preservation.home-canning,concept_note,food-preservation,"",concept,"","An introduction to the concept of home canning, providing an overview of its importance and basic principles.",home canning|food preservation|agricultural practices,"","","","","",false,false,0.8
src.usda.home-canning.2015,seg_000004,3,3,Complete Guide to Home Canning,seg_000004,food-safety.botulism-prevention,safety_notice,food_safety,home_canning,published,home canning|food preservation,"Guidelines for preventing botulism in home-canned foods, emphasizing the importance of following USDA-endorsed methods and boiling low-acid foods before consumption if deviations occur.",botulism|food safety|home canning,boil low-acid foods|follow USDA guidelines,"",botulism poisoning,"boil for 10 minutes at altitudes below 1,000 ft|add 1 minute per 1,000 ft elevation","",false,false,0.95
src.usda.home-canning.2015,seg_000005,4,4,Preface,seg_000005,home-canning.introduction,concept_note,home_canning,food_preservation,published,beginner canners|food preservation,"Introduction to home canning, covering scientific principles, equipment, and procedures for safe and high-quality canned products.",home canning|scientific principles|canning equipment,use proper jars and lids|follow canning procedures,jars|lids,"","","",false,false,0.9
src.usda.home-canning.2015,seg_000006,5,5,For Safety's Sake,seg_000006,food-safety.pressure-canning,safety_notice,food_safety,home_canning,published,home canning|food preservation,"Safety guidelines for pressure canning low-acid foods to prevent botulism, including the importance of accurate pressure canner gauges and process times.",pressure canning|botulism|food safety,use pressure canner|check gauge accuracy,pressure canner,botulism poisoning,pressure canning required for low-acid foods,"",false,false,0.95
src.usda.home-canning.2015,seg_000011,6,6,Determining Your Altitude Above Sea Level,seg_000011,home-canning.altitude-adjustment,reference_sheet,home_canning,food_preservation,published,home canning|food preservation,Guidelines for adjusting canning process times based on altitude to ensure safe food preservation.,altitude adjustment|canning process times,determine altitude|adjust processing time,"","","","",false,false,0.9
src.usda.home-canning.2015,seg_000014,14,14,Guide 1 Principles of Home Canning,seg_000014,food-preservation.principles-of-home-canning,concept_note,food-preservation,"",concept,"","This section introduces the fundamental principles of home canning, focusing on the scientific basis and safety considerations necessary for effective food preservation.",home canning|food preservation|safety|scientific principles,"","","","","",false,false,0.9
src.usda.home-canning.2015,seg_000016,16,16,Why can foods?,seg_000016,food-preservation.why-canning,concept_note,food-preservation,"",concept,"","Explains the benefits of canning foods, including cost savings and nutritional preservation.",cost savings|nutritional preservation|food spoilage,"","",poor quality fresh foods|jars failing to seal|food spoilage,"","",false,false,0.9
src.usda.home-canning.2015,seg_000017,16,16,How canning preserves foods,seg_000017,food-preservation.canning-methods,concept_note,food-preservation,"",concept,"","Describes how canning preserves food by removing oxygen, destroying enzymes, and preventing microbial growth.",oxygen removal|enzyme destruction|microbial growth prevention,selecting and washing fresh food|peeling fresh foods|hot packing|adding acids|using proper jars and lids|processing in canners,boiling-water canner|pressure canner|self-sealing lids,"","","",false,false,0.9
src.usda.home-canning.2015,seg_000018,17,18,Ensuring safe canned foods,seg_000018,food-safety.safe-canning,concept_note,food-safety,"",concept,"",Discusses the importance of proper canning methods to prevent botulism and ensure food safety.,botulism prevention|proper canning methods|spore destruction,using research-based process times|proper sterilization,"",improper processing times|inadequate sterilization,store jars below 95°F,"",false,false,0.95
