id,type,title,summary,plain_language,primary_domain,domains_json,stage,difficulty,estimated_hours,cost_band,risk_band,contexts_json,tags_json,requires_json,outputs_json,lifecycle_state,evidence_level,source_refs_json,payload_json,version,updated_at
foundation.verify-and-cite,skill,Verify and Cite Practical Claims,"Evaluate practical claims by checking source quality, recency, evidence, and applicability before acting.","Before you trust a claim, check who said it, when they said it, what evidence they show, and whether it fits your situation.",foundation,"[""foundation""]",foundation,1,1.5,free,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""verification"", ""research"", ""evidence"", ""decision-making"", ""media-literacy""]",[],"[""claim-check worksheet"", ""source comparison note""]",draft,compiled,[],"{""performance_statement"": ""Assess a practical claim, cite the supporting evidence, and explain whether the claim is usable in a real decision."", ""inputs"": [""claim or recommendation"", ""source list"", ""publication dates"", ""local constraints""], ""tools"": [""web browser"", ""notebook or worksheet"", ""AI assistant (optional)""], ""materials"": [""claim-check worksheet""], ""steps_summary"": [""State the claim in one sentence."", ""Identify the original source, date, and evidence offered."", ""Compare at least two independent sources or one primary source and one reviewer."", ""Mark what is known, unknown, and locally variable."", ""Record a decision with a citation trail.""], ""success_criteria"": [""The worksheet names the claim, source, date, and evidence quality."", ""The learner can distinguish primary from secondary support."", ""The final note states whether to act, wait, test, or reject.""], ""failure_modes"": [""Treating popularity as proof."", ""Ignoring dates and using outdated guidance."", ""Failing to separate general advice from local conditions.""], ""safety_boundary"": ""This skill does not authorize high-risk action; when consequences are significant, escalate to qualified local guidance and primary sources.""}",1.0.0,2026-03-13
foundation.measurement-and-units,concept,Measurement and Units for Practical Work,"Understand quantities, conversions, estimation, and tolerances so plans and calculations use comparable units.","If you cannot measure it in the same units, you cannot compare it or size it correctly.",foundation,"[""foundation""]",foundation,1,1.5,free,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""measurement"", ""units"", ""numeracy"", ""calculation"", ""estimation""]",[],"[""units cheat sheet"", ""conversion table""]",draft,compiled,[],"{""definition"": ""A shared language of quantity that allows materials, loads, water, time, and space to be compared without confusion."", ""key_questions"": [""What quantity am I measuring?"", ""What unit is appropriate for this decision?"", ""How do I convert between common household and technical units?""], ""misconceptions"": [""Precision and accuracy are the same thing."", ""Bigger numbers always mean more capacity regardless of unit."", ""Approximation is useless unless it is exact.""], ""formulas_or_rules"": [""Choose one working unit before calculating."", ""Write units next to every number."", ""Estimate first, then calculate, then sense-check.""], ""units"": [""gallon"", ""liter"", ""watt"", ""watt-hour"", ""volt"", ""amp"", ""square foot"", ""degree F"", ""degree C"", ""psi""]}",1.0.0,2026-03-13
foundation.systems-mapping,skill,Map Household and Community Systems,"Map inputs, outputs, dependencies, and failure points in a system so you can see what matters first.",Draw the system before you try to fix the system.,foundation,"[""foundation""]",foundation,2,2.0,free,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""systems-thinking"", ""mapping"", ""dependencies"", ""troubleshooting"", ""planning""]",[],"[""household systems map"", ""dependency list""]",draft,compiled,[],"{""performance_statement"": ""Create a clear map of a household or local system that shows how resources flow, where bottlenecks exist, and what fails first."", ""inputs"": [""target system"", ""basic measurements"", ""known dependencies"", ""failure scenarios""], ""tools"": [""paper or whiteboard"", ""markers"", ""camera or scanner (optional)""], ""materials"": [""system mapping template""], ""steps_summary"": [""Choose a system boundary such as water, food, shelter, or power."", ""List inputs, outputs, storage points, dependencies, and single points of failure."", ""Mark critical nodes, backup paths, and failure consequences."", ""Rank which dependencies are easy, medium, or hard to replace."", ""Convert the map into a one-page operating view.""], ""success_criteria"": [""The map shows inputs, outputs, and at least one likely failure path."", ""Critical dependencies are visible and ranked."", ""Another person can read the map and understand the system.""], ""failure_modes"": [""Drawing a process list instead of a system map."", ""Ignoring hidden dependencies such as fuel, internet, or weather."", ""Making the diagram so detailed that it cannot guide action.""], ""safety_boundary"": ""This activity is observational and planning-oriented; do not test failure scenarios on live systems unless it is safe and reversible.""}",1.0.0,2026-03-13
foundation.ai-grounded-research,skill,Use AI for Grounded Research and Synthesis,"Use AI to summarize, compare, localize, and draft while keeping claims tied to checkable sources and local constraints.","Use AI like a fast research assistant and translator, not like a prophet.",foundation,"[""foundation""]",foundation,2,2.0,free,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""ai-literacy"", ""research"", ""summarization"", ""comparison"", ""localization""]","[{""mode"": ""all_of"", ""ids"": [""foundation.verify-and-cite""], ""n"": null}]","[""prompt pack"", ""source comparison brief""]",draft,compiled,[],"{""performance_statement"": ""Use AI to speed up explanation and comparison while preserving a verifiable chain back to sources, dates, and local constraints."", ""inputs"": [""question or task"", ""source material"", ""local context such as budget or climate""], ""tools"": [""AI assistant"", ""browser"", ""note template""], ""materials"": [""prompt pack"", ""claim-check worksheet""], ""steps_summary"": [""Frame the task in plain language and define the decision to be made."", ""Ask AI to summarize and compare sources with explicit citations or references."", ""Cross-check the high-risk or time-sensitive claims against primary or recent sources."", ""Ask AI to localize the plan by budget, region, housing type, or available tools."", ""Save the final decision note with sources and caveats.""], ""success_criteria"": [""The output names which claims were source-checked."", ""The learner can explain where AI helped and where human verification took over."", ""The final note is adapted to a real local scenario.""], ""failure_modes"": [""Accepting confident wording as evidence."", ""Prompting for conclusions without defining constraints."", ""Forgetting to verify recency, law, code, or safety boundaries.""], ""safety_boundary"": ""AI outputs are draft material; do not use them as sole authority for code, medicine, legal matters, or high-risk technical action.""}",1.0.0,2026-03-13
foundation.household-resilience-inventory,project,Build a Household Resilience Inventory,"Create a baseline inventory of needs, dependencies, tools, contacts, and vulnerabilities for a household.",Write down what the household depends on before an outage or disruption writes it down for you.,foundation,"[""foundation""]",foundation,2,3.0,low,low,"[""general"", ""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""inventory"", ""baseline"", ""resilience"", ""household"", ""planning""]","[{""mode"": ""all_of"", ""ids"": [""foundation.measurement-and-units"", ""foundation.systems-mapping"", ""foundation.ai-grounded-research""], ""n"": null}]","[""household inventory sheet"", ""priority gap list""]",draft,compiled,[],"{""goal"": ""Produce a single reference packet that shows what the household needs to stay functional for 72 hours and two weeks."", ""deliverables"": [""household inventory sheet"", ""critical-needs list"", ""contacts list"", ""priority gap list""], ""acceptance_criteria"": [""The inventory covers water, food, shelter, sanitation, communications, medicines, transport, and power."", ""Every item has a quantity, location, and owner or steward where relevant."", ""The packet highlights the top five vulnerabilities and the easiest next improvements.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}",1.0.0,2026-03-13
water.safe-storage,skill,Store Potable Water Safely,"Store potable water in usable quantities, containers, and intervals so it stays available and identifiable.","Clean water only helps if you can store enough of it, find it fast, and trust the container.",water,"[""water""]",household,1,1.5,low,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""water"", ""storage"", ""sanitation"", ""preparedness"", ""containers""]","[{""mode"": ""all_of"", ""ids"": [""foundation.measurement-and-units""], ""n"": null}]","[""storage table"", ""container label set""]",draft,compiled,[],"{""performance_statement"": ""Calculate water quantities for a time window, choose appropriate containers, and label and rotate stored water correctly."", ""inputs"": [""household size"", ""storage duration"", ""container options"", ""space constraints""], ""tools"": [""marker"", ""measuring container"", ""storage worksheet""], ""materials"": [""food-safe containers"", ""labels"", ""cleaning supplies""], ""steps_summary"": [""Estimate minimum and preferred daily water quantities per person and use case."", ""Match the total volume to actual containers and storage locations."", ""Label date, source, intended use, and rotation interval."", ""Separate drinking water from utility water if using both."", ""Record the plan in a storage table.""], ""success_criteria"": [""The plan covers at least one minimum-duration target."", ""Containers are identified, dated, and assigned to uses."", ""Storage locations are realistic for the dwelling.""], ""failure_modes"": [""Using unknown or contaminated containers."", ""Storing too little water for heat, pets, or sanitation needs."", ""Failing to label and rotate containers.""], ""safety_boundary"": ""Use only appropriate containers and local health guidance; storage does not replace proper treatment when source quality is uncertain.""}",1.0.0,2026-03-13
water.treatment-selection,concept,Select an Appropriate Water Treatment Method,"Understand treatment methods and match them to the likely contaminants, water source, and available equipment.",Different water problems need different fixes; no single treatment method solves everything.,water,"[""water""]",household,2,1.5,free,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""water"", ""treatment"", ""filtration"", ""disinfection"", ""contaminants""]","[{""mode"": ""all_of"", ""ids"": [""foundation.verify-and-cite"", ""foundation.ai-grounded-research""], ""n"": null}]","[""treatment decision matrix""]",draft,compiled,[],"{""definition"": ""A decision framework for matching likely water hazards to suitable treatment methods and limits."", ""key_questions"": [""What problem am I treating: particles, microbes, chemicals, or salinity?"", ""What does this treatment remove well, poorly, or not at all?"", ""What are the capacity, maintenance, and failure signs of the method?""], ""misconceptions"": [""All filters remove all contaminants."", ""Clear water is necessarily safe water."", ""Boiling solves chemical contamination.""], ""formulas_or_rules"": [""Match method to contaminant class."", ""Multiple barriers are often stronger than one."", ""Capacity, contact time, and maintenance matter as much as device choice.""], ""units"": [""microns"", ""liters"", ""gallons"", ""minutes"", ""ppm""]}",1.0.0,2026-03-13
water.basic-testing,skill,Run Basic Household Water Checks and Tests,Inspect and test source or treated water at a household level and record the results in a simple log.,A small amount of testing catches many obvious failures before they become a household problem.,water,"[""water""]",household,2,2.0,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""water"", ""testing"", ""logging"", ""quality-control"", ""observation""]","[{""mode"": ""all_of"", ""ids"": [""foundation.verify-and-cite"", ""water.treatment-selection""], ""n"": null}]","[""water test log""]",draft,compiled,[],"{""performance_statement"": ""Perform a basic set of observable and kit-based checks, document what they mean, and decide whether to store, retreat, or reject the water."", ""inputs"": [""water sample"", ""test method or kit"", ""decision thresholds"", ""log sheet""], ""tools"": [""test kit or strips"", ""clean sample container"", ""timer"", ""pen""], ""materials"": [""log sheet""], ""steps_summary"": [""Inspect the sample for clarity, odor, container condition, and labeling."", ""Run the selected household-level test according to its instructions."", ""Record date, source, test type, result, and interpretation."", ""Compare against the chosen threshold or action rule."", ""Decide whether to store, retreat, re-test, or reject.""], ""success_criteria"": [""The log captures the source, date, method, and decision."", ""The learner can explain the limit of the chosen test."", ""The final action is consistent with the result and context.""], ""failure_modes"": [""Using expired or misread test materials."", ""Drawing conclusions beyond what the kit can show."", ""Failing to document the sample source and date.""], ""safety_boundary"": ""Household tests are screening tools; if the consequences of error are high, use certified testing and local public-health guidance.""}",1.0.0,2026-03-13
water.household-water-plan,project,Build a 72-Hour and 2-Week Household Water Plan,"Produce a practical household water plan covering quantity, storage, treatment, testing, and contingency options.",A water plan turns scattered gear and half-remembered ideas into a usable operating system.,water,"[""water""]",household,2,3.0,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""water-plan"", ""household"", ""contingency"", ""preparedness"", ""operations""]","[{""mode"": ""all_of"", ""ids"": [""foundation.household-resilience-inventory"", ""water.safe-storage"", ""water.treatment-selection"", ""water.basic-testing""], ""n"": null}]","[""household water plan"", ""water source and storage map"", ""retest schedule""]",draft,compiled,[],"{""goal"": ""Build a household-ready plan that covers how much water is needed, where it comes from, how it is treated, how it is tested, and what to do when one path fails."", ""deliverables"": [""household water plan"", ""source and storage map"", ""treatment decision matrix"", ""retest schedule""], ""acceptance_criteria"": [""The plan covers drinking, hygiene, food prep, pets, and essential cleaning where relevant."", ""At least one backup source or fallback path is named."", ""The plan can be followed by another household member without additional explanation.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}",1.0.0,2026-03-13
food.pantry-design,project,Design a Functional Household Pantry,"Design a pantry around calories, diet, shelf life, cooking needs, budget, and storage conditions.","A pantry works when it matches what people actually eat, how they cook, and how long they may need it.",food,"[""food""]",household,2,3.0,low,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""apartment""]","[""pantry"", ""storage"", ""nutrition"", ""budgeting"", ""household""]","[{""mode"": ""all_of"", ""ids"": [""foundation.measurement-and-units"", ""foundation.household-resilience-inventory""], ""n"": null}]","[""pantry map"", ""shopping gap list"", ""category labels""]",draft,compiled,[],"{""goal"": ""Create a pantry layout and stocking plan that matches the household's real diet, budget, storage space, and disruption window."", ""deliverables"": [""pantry map"", ""category labels"", ""shopping gap list"", ""minimum-duration stock target""], ""acceptance_criteria"": [""The design covers staple foods, proteins, fats, seasonings, and special dietary needs where applicable."", ""Storage conditions and package sizes fit the dwelling and cooking setup."", ""The output distinguishes minimum stock from aspirational stock.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}",1.0.0,2026-03-13
