source_id,section_id,start_page,end_page,heading_path,segment_ids,candidate_slug,candidate_type,primary_domain,secondary_domains,stage,contexts,summary,key_concepts,key_actions,tools_materials,failure_modes,safety_boundaries,local_adaptation_signals,needs_split,needs_merge,confidence
src.fema.are-you-ready.2004,seg_000001,1,1,Are You Ready?,seg_000001,emergency-preparedness.citizen-preparedness-guide,concept_note,emergency-preparedness,"",concept,"","An introductory guide to citizen preparedness, focusing on readiness for emergencies.",citizen preparedness|emergency readiness,"","","","","",false,false,0.8
src.fema.are-you-ready.2004,seg_000002,2,2,Preface,seg_000002,emergency-preparedness.general-public-guide,reference_sheet,emergency-preparedness,"",dissemination,"","A guide prepared for the general public to learn how to protect themselves and their families against all types of hazards, including assembling a disaster supplies kit.",hazard awareness|emergency education|disaster preparedness,develop emergency plans|practice emergency plans|maintain emergency plans|assemble disaster supplies kit,disaster supplies kit,incomplete emergency plans|insufficient supplies,"",differences in buildings|infrastructure variations|environmental features,false,false,0.9
src.fema.are-you-ready.2004,seg_000003,3,3,CERT,seg_000003,emergency.cert-program,module,emergency,"",deployment,"","The CERT program trains volunteers to organize and assist in disaster situations, providing immediate aid and gathering intelligence until professional responders arrive.",Community Emergency Response Team|disaster preparedness|volunteer training,organize volunteers|provide immediate assistance|collect disaster intelligence,training materials|disaster preparedness kits,lack of communication|impassable roads,"",local government sponsorship|community-specific hazards,false,false,0.9
src.fema.are-you-ready.2004,seg_000004,4,4,Citizen Corps,seg_000004,emergency-preparedness.citizen-corps-overview,concept_note,emergency-preparedness,"",concept,"","Citizen Corps provides opportunities for public participation in safety measures against crime, terrorism, public health issues, and disasters through education, training, and volunteer programs.",public education|community safety|disaster preparedness,organize public education|conduct citizen training|implement volunteer programs,"","","",local management by Citizen Corps Councils|involvement of community stakeholders,false,false,0.9
src.fema.are-you-ready.2004,seg_000004,4,4,Citizen Corps,seg_000004,emergency-preparedness.citizen-corps-programs,project_blueprint,emergency-preparedness,"",project,"","Citizen Corps includes programs like Neighborhood Watch, CERT, and Medical Reserve Corps, aimed at enhancing community and family safety.",community programs|federal sponsorship,participate in Neighborhood Watch|join CERT|engage with Medical Reserve Corps,"","","",integration with local emergency services,false,false,0.85
src.fema.are-you-ready.2004,seg_000005,5,5,Certificate of Completion,seg_000005,emergency-management.certificate-of-completion,assessment,emergency_management,"",deployment,"","Details the process for obtaining a certificate of completion for the 'Are You Ready?' guide, including the requirement to score at least 75% on a final examination.",certificate of completion|final examination|citizen preparedness,log on to training site|complete final examination|contact FEMA Independent Study Program,internet access|FEMA training website,not achieving 75% score|technical issues with website,"","",false,false,0.9
src.fema.are-you-ready.2004,seg_000006,5,5,Facilitator Guide,seg_000006,disaster-preparedness.facilitator-guide,teach_forward_packet,disaster-preparedness,"",deployment,school children|community organizations|scouts|social groups,"The Facilitator Guide is designed to aid in teaching disaster preparedness to various groups. It includes lesson plans, guidelines for audience engagement, and resources for enhancing training sessions.",disaster preparedness|training delivery|audience engagement,deliver training|use lesson plans|distribute handouts,Facilitator Guide|CD-ROM with teaching aids|electronic visuals|handouts,ineffective audience engagement|lack of resource availability,"",tailor lesson plans to local needs|adapt visuals for local relevance,false,false,0.9
src.fema.are-you-ready.2004,seg_000007,6,6,Table of Contents,seg_000007,preparedness.basic-preparedness,module,preparedness,"",mapping,"","This module covers basic preparedness steps including getting informed, emergency planning, assembling a disaster supplies kit, sheltering, hazard-specific preparedness, and maintaining your plan.",basic preparedness|emergency planning|disaster supplies kit,get informed|create emergency plan|assemble supplies kit,disaster supplies kit,"","","",false,false,0.9
src.fema.are-you-ready.2004,seg_000007,6,6,Table of Contents,seg_000007,preparedness.natural-hazards,module,preparedness,"",mapping,"","This module addresses preparedness for various natural hazards including floods, tornadoes, hurricanes, thunderstorms, winter storms, extreme heat, earthquakes, volcanoes, landslides, tsunamis, fires, and wildfires.",natural hazards|floods|tornadoes|hurricanes,prepare for floods|prepare for tornadoes|prepare for hurricanes,"","","","",false,false,0.9
src.fema.are-you-ready.2004,seg_000007,6,6,Table of Contents,seg_000007,preparedness.technological-hazards,module,preparedness,"",mapping,"","This module focuses on preparedness for technological hazards such as hazardous materials incidents, household chemical emergencies, and nuclear power plant incidents.",technological hazards|hazardous materials|chemical emergencies,prepare for hazardous materials incidents|prepare for chemical emergencies,"","","","",false,false,0.9
