source_id,target_id,edge_type,sequence,condition,confidence
emergency-management.flood-awareness,assessment.flood-knowledge-check,prerequisite_for,,,0.9
emergency-management.flood-hazard-terms,assessment.flood-knowledge-check,prerequisite_for,,,0.8
emergency-preparedness.basic-safety-tips,emergency-preparedness-are-you-ready,prerequisite_for,,,0.85
emergency-preparedness.basic-disaster-supplies-kit,emergency-preparedness-are-you-ready,prerequisite_for,,,0.85
emergency-preparedness.basic-awareness,emergency-preparedness-are-you-ready,prerequisite_for,,,0.85
emergency-preparedness.basic-awareness,emergency-preparedness.general-public-guide,prerequisite_for,,,0.8
emergency-preparedness.general-public-guide,emergency-preparedness-are-you-ready,prerequisite_for,,,0.8
emergency-preparedness.citizen-corps-overview,emergency-preparedness.citizen-corps-programs,prerequisite_for,,,0.9
emergency-preparedness.citizen-preparedness-guide,emergency-preparedness.citizen-role,prerequisite_for,,,0.85
emergency-preparedness.hazardous-materials-planning,emergency-preparedness.technological-hazards-knowledge-check,prerequisite_for,,,0.8
emergency-preparedness.hurricane-awareness,emergency-preparedness.hurricane-damage-potential,prerequisite_for,,,0.85
emergency-preparedness.hurricane-awareness,emergency-preparedness.hurricane-window-safety,prerequisite_for,,,0.85
emergency-preparedness.terrorism-awareness,emergency-preparedness.terrorism-response,prerequisite_for,,,0.85
emergency-preparedness.tsunami-awareness,emergency-preparedness.tsunami-warning,prerequisite_for,,,0.85
emergency-preparedness.tsunami-awareness,emergency-preparedness.tsunami-watch,prerequisite_for,,,0.85
emergency-preparedness.wildfire-awareness,wildfire-preparedness.safety-tips,prerequisite_for,,,0.85
emergency-preparedness.winter-storms-extreme-cold,emergency-preparedness.winter-storm-watch,prerequisite_for,,,0.85
