id,type,title,summary,plain_language,primary_domain,stage,difficulty,estimated_hours,cost_band,risk_band,lifecycle_state,evidence_level,version,updated_at
module.01-truth-tools-and-ai,module,"Truth, Tools, and AI as Amplifier","Learn how to verify practical claims, use AI to compare sources, and record decisions with citations before acting.","This module teaches you how to check whether information is real, current, and useful before you act on it.",foundation,foundation,2,4.0,free,low,draft,compiled,1.0.0,2026-03-16
module.02-measure-map-and-inventory,module,"Measure, Map, and Inventory","Convert vague household conditions into measured quantities, system maps, and a resilience inventory you can build on.",This module helps you see what your household depends on before something fails.,foundation,foundation,2,4.25,low,low,draft,compiled,1.0.0,2026-03-16
module.03-water-storage-and-treatment,module,Water I: Storage and Treatment,"Plan potable water quantities, storage intervals, and treatment choices using a household-specific decision process.",This module helps you decide how much water to store and how to make questionable water safer to use.,water,household,2,3.83,low,moderate,draft,compiled,1.0.0,2026-03-16
module.04-water-testing-and-planning,module,Water II: Testing and Household Planning,Use simple household testing and planning steps to turn water storage and treatment choices into a 72-hour and 2-week plan.,"This module turns water ideas into a real plan you can check, update, and explain.",water,household,2,4.17,low,moderate,draft,compiled,1.0.0,2026-03-16
module.05-pantry-rotation-and-preservation,module,"Food I: Pantry Design, Rotation, and Preservation Boundaries","Design a pantry around calories, shelf life, budget, and storage conditions, then add a clear rotation and preservation safety boundary.",This module helps you build food resilience without turning your pantry into clutter or guessing about preservation safety.,food,household,2,4.25,low,moderate,draft,compiled,1.0.0,2026-03-16
module.06-seed-starting-and-garden-planning,module,Food II: Seed Starting and Garden Planning,"Turn gardening from aspiration into a small, reliable production system using timing, setup, and a simple crop plan.",This module helps you start growing food in a way that is small enough to sustain and structured enough to learn from.,food,productive,2,4.42,low,low,draft,compiled,1.0.0,2026-03-16
module.07-envelope-and-weatherization,module,Shelter I: Building Envelope and Weatherization,"Learn where homes lose heat and comfort, then audit drafts, leakage, and weatherization priorities room by room.","This module helps you understand how air, heat, and moisture move through a building so you can improve comfort and efficiency.",shelter,household,2,4.17,low,low,draft,compiled,1.0.0,2026-03-16
module.08-moisture-tools-shutoffs-and-patching,module,"Repair I: Moisture, Tools, Shutoffs, and Patching","Combine moisture control, hand-tool literacy, and simple shutoff and sealing actions so small problems stop becoming bigger ones.","This module helps you act early on leaks, dampness, and small failures instead of waiting until they become expensive.",shelter,household,2,4.42,low,moderate,draft,compiled,1.0.0,2026-03-16
module.09-circuit-basics-and-label-reading,module,Power I: Circuit Basics and Device Label Reading,"Build electrical literacy around volts, amps, watts, watt-hours, circuit limits, and what device labels actually tell you.","This module gives you enough electrical literacy to read labels, compare loads, and avoid obvious planning mistakes.",power,household,2,3.67,free,moderate,draft,compiled,1.0.0,2026-03-16
module.10-load-audit-and-runtime,module,Power II: Critical Loads and Runtime,Turn electrical literacy into an outage load audit and realistic runtime estimates based on actual priorities and assumptions.,This module helps you decide what must stay on during an outage and how long different power sources could support it.,power,household,2,4.17,low,moderate,draft,compiled,1.0.0,2026-03-16
module.11-backup-power-and-local-resource-map,module,Power III and Community Layer: Backup Planning and Local Resource Mapping,"Produce tiered backup power options and connect them to a local map of skills, tools, places, and shared assets.",This module helps you compare backup options realistically and then locate the people and resources nearby that increase resilience.,power,community,3,4.5,low,moderate,draft,compiled,1.0.0,2026-03-16
module.12-capstone-teach-forward,module,Capstone: Teach Forward and Archive the Capability,"Package one completed capability into a short, usable lesson with a durable handout so the knowledge can move beyond the individual learner.",This module turns private learning into public usefulness by asking you to teach one thing clearly and leave behind something others can reuse.,community,community,2,4.5,free,low,draft,compiled,1.0.0,2026-03-16
assessment.module.01,assessment,"Week 1 Assessment — Truth, Tools, and AI as Amplifier","Assessment bundle for Truth, Tools, and AI as Amplifier using artifacts, explanation, and where appropriate a short demonstration.","This assessment checks whether the learner can use and explain the work from Truth, Tools, and AI as Amplifier.",foundation,foundation,2,0.5,free,low,draft,compiled,1.0.0,2026-03-16
assessment.module.02,assessment,"Week 2 Assessment — Measure, Map, and Inventory","Assessment bundle for Measure, Map, and Inventory using artifacts, explanation, and where appropriate a short demonstration.","This assessment checks whether the learner can use and explain the work from Measure, Map, and Inventory.",foundation,foundation,2,0.5,free,low,draft,compiled,1.0.0,2026-03-16
assessment.module.03,assessment,Week 3 Assessment — Water I: Storage and Treatment,"Assessment bundle for Water I: Storage and Treatment using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Water I: Storage and Treatment.,water,household,2,0.5,free,low,draft,compiled,1.0.0,2026-03-16
assessment.module.04,assessment,Week 4 Assessment — Water II: Testing and Household Planning,"Assessment bundle for Water II: Testing and Household Planning using artifacts, explanation, and where appropriate a short demonstration.",This assessment checks whether the learner can use and explain the work from Water II: Testing and Household Planning.,water,household,2,0.75,free,low,draft,compiled,1.0.0,2026-03-16
assessment.module.05,assessment,"Week 5 Assessment — Food I: Pantry Design, Rotation, and Preservation Boundaries","Assessment bundle for Food I: Pantry Design, Rotation, and Preservation Boundaries using artifacts, explanation, and where appropriate a short demonstration.","This assessment checks whether the learner can use and explain the work from Food I: Pantry Design, Rotation, and Preservation Boundaries.",food,household,2,0.5,free,low,draft,compiled,1.0.0,2026-03-16
