source_id,target_id,edge_type,confidence,sequence,condition
analysis.model-checking-for-political-claims,media.causality-and-shared-reality,builds_on,0.89,,
analysis.model-checking-for-political-claims,geopolitics.assessing-regime-targets,builds_on,0.77,,
finance.hormuz-shipping-risk-insurance-response,economics.hormuz-shipping-risk-assessment,builds_on,0.9,,
finance.hormuz-shipping-risk-insurance-response,finance.geopolitical-chaos-premium-market-signals,builds_on,0.78,,
finance.hormuz-shipping-risk-insurance-response,law.maritime-rights-and-innocent-passage,builds_on,0.72,,
finance.nat-lighten-up-on-shipping-winners,finance.geopolitical-chaos-premium-market-signals,builds_on,0.86,,
finance.pbt-raise-cash-on-oil-runup,finance.geopolitical-chaos-premium-market-signals,builds_on,0.8,,
finance.cash-positioning-during-commodity-shocks,finance.geopolitical-chaos-premium-market-signals,builds_on,0.74,,
finance.bci-multi-year-commodity-bull-market,finance.geopolitical-chaos-premium-market-signals,builds_on,0.68,,
geopolitics.maritime-chokepoint-control,finance.hormuz-shipping-risk-insurance-response,builds_on,0.71,,
geopolitics.maritime-chokepoint-control,law.maritime-rights-and-innocent-passage,builds_on,0.66,,
media.discourse-and-activist-framing,media.framing-and-reductionism,builds_on,0.88,,
media.discourse-and-expert-authority,media.framing-and-reductionism,builds_on,0.84,,
media.causality-and-shared-reality,media.framing-and-reductionism,builds_on,0.79,,
politics.electoral-tail-risk-analysis,politics.consensus-vs-power-politics,builds_on,0.73,,
politics.electoral-tail-risk-analysis,media.causality-and-shared-reality,builds_on,0.7,,
politics.hornets-nest-metaphor,politics.consensus-vs-power-politics,builds_on,0.62,,
portfolio.gold-goats-guns-overview,finance.bci-multi-year-commodity-bull-market,builds_on,0.64,,
portfolio.gold-goats-guns-overview,finance.nat-lighten-up-on-shipping-winners,builds_on,0.6,,
publishing.issue-index,finance.portfolio-allocation-recommendations,contains,0.82,,
publishing.issue-index,finance.nat-lighten-up-on-shipping-winners,contains,0.58,,
publishing.issue-index,finance.pbt-raise-cash-on-oil-runup,contains,0.58,,
publishing.issue-index,finance.ggn-buy-under-4-75,contains,0.56,,
publishing.issue-index,finance.bci-multi-year-commodity-bull-market,contains,0.56,,
publishing.issue-index,finance.cash-positioning-during-commodity-shocks,contains,0.55,,
publishing.issue-index,economics.hormuz-shipping-risk-assessment,contains,0.55,,
publishing.issue-index,finance.hormuz-shipping-risk-insurance-response,contains,0.55,,
publishing.issue-index,geopolitics.maritime-chokepoint-control,contains,0.54,,
publishing.issue-index,media.profile-editor-publisher,contains,0.53,,
publishing.issue-index,defense.quote-of-the-month-a10-thunderbolt-ii,contains,0.52,,
publishing.issue-index,finance-investment-disclaimer-and-risk-notice,contains,0.52,,
