ID,Priority,Phase,Epic,Title,Owner,Effort,Dependencies,Files,New Files,Description,Acceptance Criteria
ARCH-001,P0,0,Architecture Contract,Freeze public answer contract and repo layout,Backend Lead + Frontend Lead,M (3-5d),,docs/ARCHITECTURE.md; docs/plans/WEBSITE_SCAFFOLD.md,docs/spec/public_ask_api.md; docs/spec/frontend_repo_layout.md,"Lock the public API and implementation posture before coding: keep /v1/retrieve/evidence_pack as operator/diagnostic, add /v1/public/ask for end users, and place the new interface in apps/site inside this repo so contracts evolve together.",Approved JSON request/response examples for /v1/public/ask; documented separation between public answer API and internal evidence-pack API; documented apps/site directory layout and ownership boundaries.
ING-001,P0,0,Ingestion Correctness,"Normalize lifecycle enum casing across ingest, validate, and seed",Data/Ingest,S (1-2d),ARCH-001,"src/capability_commons/cli/ingest/load.py:52-60; src/capability_commons/cli/ingest/validate.py:14-24,67-69; src/capability_commons/cli/seed.py:208-216; src/capability_commons/domain/enums.py:37-44",,"Current ingest/load code writes uppercase lifecycle values while domain enums are lowercase. Standardize ingest YAML, validation, and seed loading on canonical enum values.",--publish writes lifecycle_state: published; validator accepts canonical enum values from LifecycleState; seed_graph can round-trip published drafts without manual case fixes.
ING-002,P0,0,Ingestion Correctness,Implement true page-preserving parse output,Data/Ingest,M (3-5d),,src/capability_commons/cli/ingest/parse.py:11-108; src/capability_commons/cli/ingest/models.py:12-24,tests/fixtures/ingest/multipage_marker_output.json,Parse currently stamps every segment with the same base page. Capture actual page boundaries from marker output or page-by-page parsing so page_start/page_end are real.,Segments produced from a 3+ page source have correct page_start/page_end; page ranges survive JSONL output; tests cover headings that span multiple pages and sources without headings.
ING-003,P0,0,Ingestion Correctness,Make segment identifiers globally unique and preserve lineage from extract to cite,Data/Ingest,M (3-5d),ING-002,"src/capability_commons/cli/ingest/models.py:12-24,28-56; src/capability_commons/cli/ingest/parse.py:29-70; src/capability_commons/cli/ingest/extract.py:99-135; src/capability_commons/cli/ingest/draft.py:55-105; src/capability_commons/cli/ingest/cite.py:50-97",,"segment_id is currently reused per source and later keyed globally, which will collide in multi-source projects. Introduce a globally unique segment key and carry extracted segment IDs into drafted objects so the citation pass only sees the evidence that actually generated the object.",Multi-source ingest no longer overwrites segments in memory; extraction rows store globally unique segment references; drafts contain source_segment_ids (or equivalent); cite pass scopes candidate evidence to those segment references plus bounded neighbor context.
ING-004,P0,0,Ingestion Correctness,Enforce full canonical draft schema during Pass 2,Data/Ingest,M (3-5d),ING-003,src/capability_commons/cli/ingest/draft.py:70-107; src/capability_commons/cli/ingest/models.py; src/capability_commons/schemas/structured_data.py:17-127,src/capability_commons/cli/ingest/canonical_schema.py,"Pass 2 currently validates only id, slug, canonical_title, and markdown_body. Add a canonical draft model that requires co_type, plain_language, structured_data, requires, citations placeholder, and type-specific payload validation.",Draft pass fails fast on missing required fields; structured_data is validated by co_type before YAML is written; generated YAML conforms to a single canonical draft schema used later by validate/load.
ING-005,P0,0,Ingestion Correctness,Materialize merge and split decisions in canonicalization,Data/Ingest,M (3-5d),ING-004,src/capability_commons/cli/ingest/canonicalize.py:111-163; src/capability_commons/cli/ingest/models.py:82-88,,The canonicalize pass currently archives old drafts but does not write merged or split replacements. Expand the decision schema so merge/split actions emit concrete YAML objects and lineage metadata.,Merge writes a canonical replacement draft; split writes child drafts with new slugs; deprecated originals move to _merged/_split with lineage recorded in canonicalization_log.json.
GRAPH-001,P0,0,Graph Semantics,Normalize prerequisite and next-step edge direction semantics,Backend Lead,M (3-5d),ING-004,"src/capability_commons/cli/seed.py:97-117,276-305; src/capability_commons/cli/ingest/edges.py:14-37; src/capability_commons/retrieval/planner.py:7-84; src/capability_commons/graph/adapters/relational_graph.py:18-108; docs/ARCHITECTURE.md; expanded_seed/schema/ontology_v1.md",,"Current requires->PREREQUISITE_FOR loading is directionally confusing and will leak into graph UX, retrieval logic, and external consumers. Choose one canonical direction, document it, and update loaders/helpers/tests to enforce it.",One documented direction for PREREQUISITE_FOR and NEXT_STEP_FOR; seed/import code and graph traversal helpers follow the same direction; graph explorer labels and retrieval helpers return results consistent with the documented semantics.
SEED-001,P0,0,Load/Publish Path,Normalize edge-type imports from YAML suggested_edges and edges.csv,Backend,S (1-2d),GRAPH-001,"src/capability_commons/cli/seed.py:58-65,306-343,394-445; src/capability_commons/domain/enums.py:130-155",,"Seed loading currently understands legacy uppercase CSV edge names and separately tries EdgeType(edge_type_str.upper()) for YAML, which rejects canonical lowercase enum values. Introduce a single normalization helper that accepts both legacy seed names and canonical enum names.",Loader accepts REQUIRES/NEXT/COVERS as well as prerequisite_for/builds_on/contains; unknown edge types fail clearly with file/row context; suggested_edges from ingest are not silently skipped.
SEED-002,P0,0,Load/Publish Path,Add metadata_json to EvidenceSpan and persist citation provenance,Backend + Data/Ingest,M (3-5d),ING-003,src/capability_commons/db/models.py:298-318; src/capability_commons/cli/seed.py:345-390; src/capability_commons/services/evidence.py,alembic/versions/202603xx_000x_evidence_span_metadata.py,"Seed loading writes metadata_json to EvidenceSpan but the ORM model lacks that field. Add a JSONB metadata column to persist claim_id, claim_text, source segment reference, support strength, and page range.",EvidenceSpan stores claim/support metadata in JSONB; seed_graph writes page_start/page_end and source segment reference without error; evidence APIs can read the new metadata for rendering/debugging.
PUB-001,P0,0,Load/Publish Path,Make ingest-loaded published content trigger indexing and embeddings,Backend + Platform,M (3-5d),"SEED-001,SEED-002",src/capability_commons/cli/seed.py:208-249; src/capability_commons/cli/worker.py:15-118; src/capability_commons/search/indexer.py:36-68; src/capability_commons/services/registry.py:281-306,,"seed_graph directly sets current_version_id/published_at, bypassing the same outbox-driven indexing path used by RegistryService.publish_version(). Refactor the load path so published ingest content is reindexed and embedded automatically.",Published objects created by ingest produce version.published or equivalent indexing events; content_segments are created for new published versions; embeddings are generated when OPENAI_API_KEY is configured.
