node_id,type,payload_json
foundation.verify-and-cite,skill,"{""performance_statement"": ""Assess a practical claim, cite the supporting evidence, and explain whether the claim is usable in a real decision."", ""inputs"": [""claim or recommendation"", ""source list"", ""publication dates"", ""local constraints""], ""tools"": [""web browser"", ""notebook or worksheet"", ""AI assistant (optional)""], ""materials"": [""claim-check worksheet""], ""steps_summary"": [""State the claim in one sentence."", ""Identify the original source, date, and evidence offered."", ""Compare at least two independent sources or one primary source and one reviewer."", ""Mark what is known, unknown, and locally variable."", ""Record a decision with a citation trail.""], ""success_criteria"": [""The worksheet names the claim, source, date, and evidence quality."", ""The learner can distinguish primary from secondary support."", ""The final note states whether to act, wait, test, or reject.""], ""failure_modes"": [""Treating popularity as proof."", ""Ignoring dates and using outdated guidance."", ""Failing to separate general advice from local conditions.""], ""safety_boundary"": ""This skill does not authorize high-risk action; when consequences are significant, escalate to qualified local guidance and primary sources.""}"
foundation.measurement-and-units,concept,"{""definition"": ""A shared language of quantity that allows materials, loads, water, time, and space to be compared without confusion."", ""key_questions"": [""What quantity am I measuring?"", ""What unit is appropriate for this decision?"", ""How do I convert between common household and technical units?""], ""misconceptions"": [""Precision and accuracy are the same thing."", ""Bigger numbers always mean more capacity regardless of unit."", ""Approximation is useless unless it is exact.""], ""formulas_or_rules"": [""Choose one working unit before calculating."", ""Write units next to every number."", ""Estimate first, then calculate, then sense-check.""], ""units"": [""gallon"", ""liter"", ""watt"", ""watt-hour"", ""volt"", ""amp"", ""square foot"", ""degree F"", ""degree C"", ""psi""]}"
foundation.systems-mapping,skill,"{""performance_statement"": ""Create a clear map of a household or local system that shows how resources flow, where bottlenecks exist, and what fails first."", ""inputs"": [""target system"", ""basic measurements"", ""known dependencies"", ""failure scenarios""], ""tools"": [""paper or whiteboard"", ""markers"", ""camera or scanner (optional)""], ""materials"": [""system mapping template""], ""steps_summary"": [""Choose a system boundary such as water, food, shelter, or power."", ""List inputs, outputs, storage points, dependencies, and single points of failure."", ""Mark critical nodes, backup paths, and failure consequences."", ""Rank which dependencies are easy, medium, or hard to replace."", ""Convert the map into a one-page operating view.""], ""success_criteria"": [""The map shows inputs, outputs, and at least one likely failure path."", ""Critical dependencies are visible and ranked."", ""Another person can read the map and understand the system.""], ""failure_modes"": [""Drawing a process list instead of a system map."", ""Ignoring hidden dependencies such as fuel, internet, or weather."", ""Making the diagram so detailed that it cannot guide action.""], ""safety_boundary"": ""This activity is observational and planning-oriented; do not test failure scenarios on live systems unless it is safe and reversible.""}"
foundation.ai-grounded-research,skill,"{""performance_statement"": ""Use AI to speed up explanation and comparison while preserving a verifiable chain back to sources, dates, and local constraints."", ""inputs"": [""question or task"", ""source material"", ""local context such as budget or climate""], ""tools"": [""AI assistant"", ""browser"", ""note template""], ""materials"": [""prompt pack"", ""claim-check worksheet""], ""steps_summary"": [""Frame the task in plain language and define the decision to be made."", ""Ask AI to summarize and compare sources with explicit citations or references."", ""Cross-check the high-risk or time-sensitive claims against primary or recent sources."", ""Ask AI to localize the plan by budget, region, housing type, or available tools."", ""Save the final decision note with sources and caveats.""], ""success_criteria"": [""The output names which claims were source-checked."", ""The learner can explain where AI helped and where human verification took over."", ""The final note is adapted to a real local scenario.""], ""failure_modes"": [""Accepting confident wording as evidence."", ""Prompting for conclusions without defining constraints."", ""Forgetting to verify recency, law, code, or safety boundaries.""], ""safety_boundary"": ""AI outputs are draft material; do not use them as sole authority for code, medicine, legal matters, or high-risk technical action.""}"
foundation.household-resilience-inventory,project,"{""goal"": ""Produce a single reference packet that shows what the household needs to stay functional for 72 hours and two weeks."", ""deliverables"": [""household inventory sheet"", ""critical-needs list"", ""contacts list"", ""priority gap list""], ""acceptance_criteria"": [""The inventory covers water, food, shelter, sanitation, communications, medicines, transport, and power."", ""Every item has a quantity, location, and owner or steward where relevant."", ""The packet highlights the top five vulnerabilities and the easiest next improvements.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}"
water.safe-storage,skill,"{""performance_statement"": ""Calculate water quantities for a time window, choose appropriate containers, and label and rotate stored water correctly."", ""inputs"": [""household size"", ""storage duration"", ""container options"", ""space constraints""], ""tools"": [""marker"", ""measuring container"", ""storage worksheet""], ""materials"": [""food-safe containers"", ""labels"", ""cleaning supplies""], ""steps_summary"": [""Estimate minimum and preferred daily water quantities per person and use case."", ""Match the total volume to actual containers and storage locations."", ""Label date, source, intended use, and rotation interval."", ""Separate drinking water from utility water if using both."", ""Record the plan in a storage table.""], ""success_criteria"": [""The plan covers at least one minimum-duration target."", ""Containers are identified, dated, and assigned to uses."", ""Storage locations are realistic for the dwelling.""], ""failure_modes"": [""Using unknown or contaminated containers."", ""Storing too little water for heat, pets, or sanitation needs."", ""Failing to label and rotate containers.""], ""safety_boundary"": ""Use only appropriate containers and local health guidance; storage does not replace proper treatment when source quality is uncertain.""}"
water.treatment-selection,concept,"{""definition"": ""A decision framework for matching likely water hazards to suitable treatment methods and limits."", ""key_questions"": [""What problem am I treating: particles, microbes, chemicals, or salinity?"", ""What does this treatment remove well, poorly, or not at all?"", ""What are the capacity, maintenance, and failure signs of the method?""], ""misconceptions"": [""All filters remove all contaminants."", ""Clear water is necessarily safe water."", ""Boiling solves chemical contamination.""], ""formulas_or_rules"": [""Match method to contaminant class."", ""Multiple barriers are often stronger than one."", ""Capacity, contact time, and maintenance matter as much as device choice.""], ""units"": [""microns"", ""liters"", ""gallons"", ""minutes"", ""ppm""]}"
water.basic-testing,skill,"{""performance_statement"": ""Perform a basic set of observable and kit-based checks, document what they mean, and decide whether to store, retreat, or reject the water."", ""inputs"": [""water sample"", ""test method or kit"", ""decision thresholds"", ""log sheet""], ""tools"": [""test kit or strips"", ""clean sample container"", ""timer"", ""pen""], ""materials"": [""log sheet""], ""steps_summary"": [""Inspect the sample for clarity, odor, container condition, and labeling."", ""Run the selected household-level test according to its instructions."", ""Record date, source, test type, result, and interpretation."", ""Compare against the chosen threshold or action rule."", ""Decide whether to store, retreat, re-test, or reject.""], ""success_criteria"": [""The log captures the source, date, method, and decision."", ""The learner can explain the limit of the chosen test."", ""The final action is consistent with the result and context.""], ""failure_modes"": [""Using expired or misread test materials."", ""Drawing conclusions beyond what the kit can show."", ""Failing to document the sample source and date.""], ""safety_boundary"": ""Household tests are screening tools; if the consequences of error are high, use certified testing and local public-health guidance.""}"
water.household-water-plan,project,"{""goal"": ""Build a household-ready plan that covers how much water is needed, where it comes from, how it is treated, how it is tested, and what to do when one path fails."", ""deliverables"": [""household water plan"", ""source and storage map"", ""treatment decision matrix"", ""retest schedule""], ""acceptance_criteria"": [""The plan covers drinking, hygiene, food prep, pets, and essential cleaning where relevant."", ""At least one backup source or fallback path is named."", ""The plan can be followed by another household member without additional explanation.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}"
food.pantry-design,project,"{""goal"": ""Create a pantry layout and stocking plan that matches the household's real diet, budget, storage space, and disruption window."", ""deliverables"": [""pantry map"", ""category labels"", ""shopping gap list"", ""minimum-duration stock target""], ""acceptance_criteria"": [""The design covers staple foods, proteins, fats, seasonings, and special dietary needs where applicable."", ""Storage conditions and package sizes fit the dwelling and cooking setup."", ""The output distinguishes minimum stock from aspirational stock.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}"
food.pantry-rotation,skill,"{""performance_statement"": ""Use labels, placement rules, and a simple review schedule to keep pantry stock fresh and aligned to actual use."", ""inputs"": [""pantry layout"", ""current stock"", ""date labels"", ""review interval""], ""tools"": [""marker"", ""labels"", ""shelf or bin system"", ""inventory sheet""], ""materials"": [""rotation sheet""], ""steps_summary"": [""Group items by use, shelf life, and replacement frequency."", ""Place older stock in front and newer stock in back."", ""Record quantities and trigger points for replenishment."", ""Review the pantry on a repeating schedule."", ""Retire, donate, or repurpose items before they become waste.""], ""success_criteria"": [""The household can find and use stock without guesswork."", ""Review dates and reorder triggers are visible."", ""Expired or stale items are not accumulating unnoticed.""], ""failure_modes"": [""Buying without a rotation habit."", ""Storing items that no one regularly cooks or eats."", ""Failing to set reorder triggers.""], ""safety_boundary"": ""Follow local food-safety guidance and product labeling; when in doubt about safety, discard rather than gamble.""}"
food.safe-preservation-basics,concept,"{""definition"": ""A conceptual boundary map showing which preservation methods fit which foods, what their limits are, and when guidance must come from authoritative process sources."", ""key_questions"": [""Which preservation methods are low-risk vs higher-risk?"", ""What environmental factors make preserved food safer or less safe?"", ""When is authoritative process guidance essential?""], ""misconceptions"": [""Any preserved food that looks fine is safe."", ""A successful batch proves the method was sound."", ""Drying, fermenting, freezing, and canning have the same risk profile.""], ""formulas_or_rules"": [""Match method to food type and moisture/acid profile."", ""Use authoritative process guidance for higher-risk methods."", ""When a method depends on exact procedure, improvisation shrinks safety margin.""], ""units"": [""time"", ""temperature"", ""pH"", ""water activity""]}"
