node_id,tag,tag_order
module.01-truth-tools-and-ai,curriculum,1
module.01-truth-tools-and-ai,week-01,2
module.01-truth-tools-and-ai,verification,3
module.01-truth-tools-and-ai,ai-literacy,4
module.01-truth-tools-and-ai,research,5
module.02-measure-map-and-inventory,curriculum,1
module.02-measure-map-and-inventory,week-02,2
module.02-measure-map-and-inventory,measurement,3
module.02-measure-map-and-inventory,systems-mapping,4
module.02-measure-map-and-inventory,inventory,5
module.03-water-storage-and-treatment,curriculum,1
module.03-water-storage-and-treatment,week-03,2
module.03-water-storage-and-treatment,water,3
module.03-water-storage-and-treatment,storage,4
module.03-water-storage-and-treatment,treatment,5
module.04-water-testing-and-planning,curriculum,1
module.04-water-testing-and-planning,week-04,2
module.04-water-testing-and-planning,water,3
module.04-water-testing-and-planning,testing,4
module.04-water-testing-and-planning,planning,5
module.05-pantry-rotation-and-preservation,curriculum,1
module.05-pantry-rotation-and-preservation,week-05,2
module.05-pantry-rotation-and-preservation,food,3
module.05-pantry-rotation-and-preservation,pantry,4
module.05-pantry-rotation-and-preservation,preservation,5
module.06-seed-starting-and-garden-planning,curriculum,1
module.06-seed-starting-and-garden-planning,week-06,2
module.06-seed-starting-and-garden-planning,food,3
module.06-seed-starting-and-garden-planning,gardening,4
module.06-seed-starting-and-garden-planning,seed-starting,5
module.07-envelope-and-weatherization,curriculum,1
module.07-envelope-and-weatherization,week-07,2
module.07-envelope-and-weatherization,shelter,3
module.07-envelope-and-weatherization,weatherization,4
module.07-envelope-and-weatherization,building-envelope,5
module.08-moisture-tools-shutoffs-and-patching,curriculum,1
module.08-moisture-tools-shutoffs-and-patching,week-08,2
module.08-moisture-tools-shutoffs-and-patching,repair,3
module.08-moisture-tools-shutoffs-and-patching,moisture,4
module.08-moisture-tools-shutoffs-and-patching,patching,5
module.09-circuit-basics-and-label-reading,curriculum,1
module.09-circuit-basics-and-label-reading,week-09,2
module.09-circuit-basics-and-label-reading,power,3
module.09-circuit-basics-and-label-reading,electrical-literacy,4
module.09-circuit-basics-and-label-reading,circuits,5
module.10-load-audit-and-runtime,curriculum,1
module.10-load-audit-and-runtime,week-10,2
module.10-load-audit-and-runtime,power,3
module.10-load-audit-and-runtime,load-audit,4
module.10-load-audit-and-runtime,runtime,5
module.11-backup-power-and-local-resource-map,curriculum,1
module.11-backup-power-and-local-resource-map,week-11,2
module.11-backup-power-and-local-resource-map,power,3
module.11-backup-power-and-local-resource-map,community,4
module.11-backup-power-and-local-resource-map,backup-planning,5
module.12-capstone-teach-forward,curriculum,1
module.12-capstone-teach-forward,week-12,2
module.12-capstone-teach-forward,community,3
module.12-capstone-teach-forward,teaching,4
module.12-capstone-teach-forward,capstone,5
assessment.module.01,assessment,1
assessment.module.01,week-01,2
assessment.module.01,portfolio-review,3
assessment.module.01,verification,4
assessment.module.01,ai-literacy,5
assessment.module.01,research,6
assessment.module.02,assessment,1
assessment.module.02,week-02,2
assessment.module.02,portfolio-review,3
assessment.module.02,measurement,4
assessment.module.02,systems-mapping,5
assessment.module.02,inventory,6
assessment.module.03,assessment,1
assessment.module.03,week-03,2
assessment.module.03,checklist,3
assessment.module.03,water,4
assessment.module.03,storage,5
assessment.module.03,treatment,6
assessment.module.04,assessment,1
assessment.module.04,week-04,2
assessment.module.04,demo,3
assessment.module.04,water,4
assessment.module.04,testing,5
assessment.module.04,planning,6
assessment.module.05,assessment,1
assessment.module.05,week-05,2
assessment.module.05,portfolio-review,3
assessment.module.05,food,4
assessment.module.05,pantry,5
assessment.module.05,preservation,6
assessment.module.06,assessment,1
assessment.module.06,week-06,2
assessment.module.06,demo,3
assessment.module.06,food,4
assessment.module.06,gardening,5
assessment.module.06,seed-starting,6
assessment.module.07,assessment,1
assessment.module.07,week-07,2
assessment.module.07,demo,3
assessment.module.07,shelter,4
assessment.module.07,weatherization,5
assessment.module.07,building-envelope,6
assessment.module.08,assessment,1
assessment.module.08,week-08,2
assessment.module.08,demo,3
assessment.module.08,repair,4
assessment.module.08,moisture,5
assessment.module.08,patching,6
assessment.module.09,assessment,1
assessment.module.09,week-09,2
assessment.module.09,demo,3
assessment.module.09,power,4
assessment.module.09,electrical-literacy,5
assessment.module.09,circuits,6
assessment.module.10,assessment,1
assessment.module.10,week-10,2
assessment.module.10,demo,3
assessment.module.10,power,4
assessment.module.10,load-audit,5
assessment.module.10,runtime,6
assessment.module.11,assessment,1
assessment.module.11,week-11,2
assessment.module.11,portfolio-review,3
assessment.module.11,power,4
assessment.module.11,community,5
assessment.module.11,backup-planning,6
assessment.module.12,assessment,1
assessment.module.12,week-12,2
assessment.module.12,demo,3
assessment.module.12,community,4
assessment.module.12,teaching,5
assessment.module.12,capstone,6
